index,Row Created Date Time, Sponsor Name, Agency Name,Facility Name, Facility Code, Program Name, Populations Served, Agency Phone, Program Phone,  Program Address 1, Program Address 2, Program City, Program State,zip, Operating Certificate Required?, Program Tier, Operating Certificate Duration, Program County, Program Region, Program Type Description, Program Category Description, Program Subcategory Description,Location,borough
526,12/19/2017 02:08:00 PM,Brookdale Hospital Medical Center,Brookdale Hospital Medical Center,Brookdale Hospital Medical Center,6571,Brookdale Hospital CMHC Child Clinic,Children Adolescents,(718)240-6330,(718)240-6330,Linden Boulevard & Brookdale Plaza,12th Floor,Brooklyn,NY,11212,Y,,36.0,Kings,New York City,Clinic Treatment,Outpatient,Clinic Treatment,"Linden Boulevard
Brooklyn, NY 11212
",Brooklyn
884,12/19/2017 02:08:00 PM,Mount Sinai Hospitals Group Inc.,Beth Israel Medical Center,Beth Israel Medical Center,6585,Beth Israel Medical Center CPEP,Adolescents Adults,(212)420-5628,(212)420-4614,First Avenue At 16th Street,Silver Pavilion First Floor,New York,NY,10003,Y,,36.0,New York,New York City,CPEP Crisis Intervention,Emergency,Comprehensive Psychiatric Emergency Program,"First Avenue
New York, NY 10003
",Manhattan
960,12/19/2017 02:08:00 PM,Mount Sinai Hospitals Group Inc.,Mount Sinai Medical Center,Mount Sinai Medical Center,6399,Child and Family Outpatient Clinic,Children Adolescents Adults,(212)241-6500,(212)241-3660,1240 Park Avenue,,New York,NY,10128,Y,,36.0,New York,New York City,Clinic Treatment,Outpatient,Clinic Treatment,"1240 Park Avenue
New York, NY 10128
",Manhattan
961,12/19/2017 02:08:00 PM,NYC Department of Health and Mental Hygiene,NYC Department of Health and Mental Hygiene,NYC Department of Health and Mental Hygiene,7562,Advocacy/Support Services,,(212)219-5557,(347)396-6287,42-09 28th Street Cn#48,,Long Island City,NY,11101,N,,,New York,New York City,Advocacy/Support Services,Support,Self-Help,"42 09 28th Street
Long Island City, NY 11101
",Queens
963,12/19/2017 02:08:00 PM,New York City Health and Hospitals Corporation Bellevue Hospital Center,NYC-HHC Bellevue Hospital Center,NYC-HHC Bellevue Hospital Center,6566,HHC Bellevue Hospital Center - HH CM,Adults,(212)562-3697,(212)562-4273,27th St & First Avenue,Old Administration Bldg - 4th Fl,New York,NY,10016,N,,,New York,New York City,Health Home Care Management,Support,Care Coordination,"27th St
New York, NY 10016
",Manhattan
992,12/19/2017 02:08:00 PM,Research Foundation of CUNY,Research Foundation of CUNY,Research Foundation of CUNY,8059,Behavioral Health Care Coordination Training,Adults,(212)417-8449,(212)396-7606,2180 Third Avenue @ 119th Street,,New York,NY,10035,N,,,New York,New York City,Advocacy/Support Services,Support,Self-Help,"2180 Third Avenue @ 119th Street
New York, NY 10035
",Manhattan
1002,12/19/2017 02:08:00 PM,St. Francis Friends of the Poor,St. Francis Friends of the Poor,St. Francis Friends of the Poor,7973,St. Francis Residence I-II-III,Adults,(212)736-8500,(212)736-8500,Different Sites,,New York,NY,10010,N,,,New York,New York City,On-Site Rehabilitation,Support,General Support,,Manhattan
1005,12/19/2017 02:08:00 PM,Mount Sinai Hospitals Group Inc.,St. Luke's-Roosevelt Hospital Center,St. Luke's-Roosevelt Hospital Center,6520,St. Luke's Division Psychiatric Inpatient Service,Children Adolescents Adults,(212)523-4000,(212)523-4104,W. 114th St. And Amsterdam Ave.,Clark 8 & 9 Babcock 5,New York,NY,10025,Y,,36.0,New York,New York City,Inpatient Psychiatric Unit of a General Hospital,Inpatient,Inpatient Psychiatric Unit of a General Hospital,"W 114th St
New York, NY 10025
",Manhattan
1034,12/19/2017 02:08:00 PM,Visiting Nurse Service of New York,Visiting Nurse Service of New York,Visiting Nurse Service of New York,7647,Promise Zone School Program Co-Located with Clinic Teatment,Children Adolescents,(212)609-1588,(718)742-7063,489-493 E. 153 Street,,Bronx,NY,10455,N,,,New York,New York City,School Based Mental Health,Support,Education,"489 493 E 153 Street
Bronx, NY 10455
",Bronx
1268,12/19/2017 02:08:00 PM,Bleuler Psychotherapy Center Inc,Bleuler Psychotherapy Center Inc.,Bleuler Psychotherapy Center Inc.,6676,Bleuler Psychotherapy Center,Children Adolescents Adults,(718)275-6010,(718)275-6010,104-70 Queens Boulevard,,Forest Hills,NY,11375,Y,,36.0,Queens,New York City,Clinic Treatment,Outpatient,Clinic Treatment,"104 70 Queens Boulevard
Forest Hills, NY 11375
",Queens
