index,Row Created Date Time, Sponsor Name, Sponsor Code, Agency Name, Agency Code,Facility Name, Facility Code, Program Name, Program Code, Populations Served, Agency Phone, Program Phone,  Program Address 1, Program Address 2, Program City, Program State, Program Zip, Operating Certificate Required?, Program Tier, Operating Certificate Duration, Program County, Program Region, Program Type Description, Program Category Description, Program Subcategory Description,Location
0,12/19/2017 02:08:00 PM,Northern Rivers Family Services Inc.,452099,Parsons Child and Family Center,40400,Parsons Child and Family Center,6223,Orissa Healy House,430,Children,(518)426-2600,Not Available,,,,NY,,Y,,36.0,Albany,Hudson River,Crisis Residence,Emergency,Crisis,
1,12/19/2017 02:08:00 PM,Capital Area Peer Services,630099,Capital Area Peer Services,11620,Capital Area Peer Services,8632,Clinton Avenue Apartment Program,430,Adults,(518)427-5056,Not Available,,,,NY,,Y,1.0,36.0,Albany,Hudson River,Apartment/Support,Residential,Support Program,
2,12/19/2017 02:08:00 PM,Capital District Psychiatric Center,72099,Capital District Psychiatric Center,90200,Capital District Psychiatric Center,24,Jansen House,861,Adults,(518)549-6000,Not Available,,,,NY,,Y,1.0,36.0,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,
3,12/19/2017 02:08:00 PM,Capital District Psychiatric Center,72099,Capital District Psychiatric Center,90200,Capital District Psychiatric Center,24,New Scotland Residence TPP,235,Adults,(518)549-6000,Not Available,,,,NY,,Y,1.0,36.0,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,
4,12/19/2017 02:08:00 PM,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Clearview Supp Housing/PC Long Stay Albany County-Comm Svcs,631,Adults,(518)435-9931,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
5,12/19/2017 02:08:00 PM,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Cohoes Community Residence,430,Adults,(518)435-9931,Not Available,,,,NY,,Y,1.0,36.0,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,
6,12/19/2017 02:08:00 PM,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Equinox Apartment Program,432,Adults,(518)435-9931,Not Available,,,,NY,,Y,1.0,36.0,Albany,Hudson River,Apartment/Treatment,Residential,Treatment Program,
7,12/19/2017 02:08:00 PM,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Holt House,433,Adults,(518)435-9931,Not Available,,,,NY,,Y,1.0,36.0,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,
8,12/19/2017 02:08:00 PM,Equinox Inc.,280099,Equinox Inc.,14510,Equinox Inc.,7524,Recovery Residence,434,Adults,(518)435-9931,Not Available,,,,NY,,Y,1.0,36.0,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,
9,12/19/2017 02:08:00 PM,Homeless and Travelers Aid Society,631099,Homeless and Travelers Aid Society,17630,Homeless and Travelers Aid Society,8906,HATAS Supp Hsing/STP Forensic Albany Cty - Comm Svcs,631,Adults,(518)463-2124,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
10,12/19/2017 02:08:00 PM,Homeless and Travelers Aid Society,631099,Homeless and Travelers Aid Society,17630,Homeless and Travelers Aid Society,8906,HATAS Supported Housing/Albany County S+C-Comm.Svcs.,630,Adults,(518)463-2124,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
11,12/19/2017 02:08:00 PM,Northern Rivers Family Services Inc.,452099,Parsons Child and Family Center,40400,Parsons Child and Family Center,6223,Miriam House,431,Adolescents,(518)426-2600,Not Available,,,,NY,,Y,,36.0,Albany,Hudson River,Children & Youth Community Residence,Residential,Treatment Program,
12,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,ALBANY MRT CRISIS S/H,120,Adults,(518)464-1511,Not Available,,,,NY,,N,,,Albany,Hudson River,Crisis/Respite Beds,Emergency,Crisis,
13,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - Albany Apartments,435,Adults,(518)464-1511,Not Available,,,,NY,,Y,1.0,36.0,Albany,Hudson River,Apartment/Treatment,Residential,Treatment Program,
14,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - Albany Enhanced Supp Housing - Scattered - Comm. Svcs,640,Adults,(518)464-1511,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
15,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - Housing Options Plus,79,Adults,(518)464-1511,Not Available,,,,NY,,Y,1.0,36.0,Albany,Hudson River,Apartment/Treatment,Residential,Treatment Program,
16,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - MICA Apartments,478,Adults,(518)464-1511,Not Available,,,,NY,,Y,1.0,36.0,Albany,Hudson River,Apartment/Treatment,Residential,Treatment Program,
17,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - McKownville Residence,430,Adults,(518)464-1511,Not Available,,,,NY,,Y,1.0,36.0,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,
18,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - Northern Boulevard Community Residence,441,Adults,(518)464-1511,Not Available,,,,NY,,Y,1.0,36.0,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,
19,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - South Lake Community Residence,494,Adults,(518)464-1511,Not Available,,,,NY,,Y,1.0,36.0,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,
20,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - South Main Community Residence,440,Adults,(518)464-1511,Not Available,,,,NY,,Y,1.0,36.0,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,
21,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - Supported Housing MRT SH Albany County - Comm. Svcs,671,Adults,(518)464-1511,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
22,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - Supported Housing/Aging Out - Comm. Svcs,641,Adults,(518)464-1511,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
23,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - Supported Housing/Albany - Homeless,654,Adults,(518)464-1511,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
24,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - Supported Housing/Albany Co PC Long Stay - Comm. Svcs,655,Adults,(518)464-1511,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
25,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - Supported Housing/Albany County - Comm. Svcs,631,Adults,(518)464-1511,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
26,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - Supported Housing/Albany New Initiative,653,Adults,(518)464-1511,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
27,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - Supported Housing/Albany South End - Comm. Svcs,652,Adults,(518)464-1511,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
28,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - Supported Housing/Community Living - Comm. Svcs,651,Adults,(518)464-1511,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
29,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - Supported Housing/Homeless MICA - Comm. Svcs,639,Adults,(518)464-1511,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
30,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - Supported Housing/Medically Enhanced Albany - CommSvcs,667,Adults,(518)464-1511,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
31,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - Vliet Street Community Residence,408,Adults,(518)464-1511,Not Available,,,,NY,,Y,1.0,36.0,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,
32,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS - Western Avenue Residence,437,Adults,(518)464-1511,Not Available,,,,NY,,Y,1.0,36.0,Albany,Hudson River,Congregate/Treatment,Residential,Treatment Program,
33,12/19/2017 02:08:00 PM,Rehabilitation Support Services Inc.,397099,Rehabilitation Support Services Inc.,14370,Rehabilitation Support Services Inc.,7144,RSS Supp Housing/Transformation SH Albany - Comm Svcs,685,Adults,(518)464-1511,Not Available,,,,NY,,N,,,Albany,Hudson River,Supported Housing Community Services,Residential,Unlicensed Housing,
